Project,url,size_in_kb,stargazers_count,forks_count,watchers_count,open_issues_count,age_in_days,topics,description,domain,category,Radon MI (Numeric),Radon Cyclomatic Complexity,Lines of Code,Number of Functions,Number of Operators
awesome-machine-learning,https://github.com/josephmisiti/awesome-machine-learning,2892,65709,14610,65709,8,3747,,"A curated list of awesome Machine Learning frameworks, libraries and software.",General,Large,93.14,0.0,30,0,33
screenshot-to-code,https://github.com/abi/screenshot-to-code,2867,56643,6991,56643,74,338,,Drop in a screenshot and convert it to clean code (HTML/Tailwind/React/Vue),General,Large,83.42,0.0,4517,30,7252
llama,https://github.com/meta-llama/llama,1146,56056,9524,56056,382,612,,Inference code for Llama models,General,Medium,82.25,1.0,1179,27,487
private-gpt,https://github.com/zylon-ai/private-gpt,2409,53930,7249,53930,239,535,,"Interact with your documents using the power of GPT, 100% privately, no data leaks",Data Science,Large,80.88,0.0,6405,249,3205
hackingtool,https://github.com/Z4nzu/hackingtool,1373,50208,5399,50208,58,1651,"allinonehackingtool, web-attack, password-attack, hacking, wireless-attack, besthackingtool, ctf-tools, ddos-attack-tool, hacker, xss-attacks, xss-detection, linux, steganography",ALL IN ONE Hacking Tool For Hackers,Web Development,Medium,92.48,2.0,2587,89,2222
grok-1,https://github.com/xai-org/grok-1,1008,49488,8324,49488,102,215,,Grok open release,General,Small,48.45,9.0,2296,86,1120
big-list-of-naughty-strings,https://github.com/minimaxir/big-list-of-naughty-strings,330,46175,2129,46175,105,3358,,The Big List of Naughty Strings is a list of strings which have a high probability of causing issues when used as user-input data.,Data Science,Small,94.43,1.0,63,1,17
bert,https://github.com/google-research/bert,317,38036,9587,38036,886,2184,"nlp, google, natural-language-processing, natural-language-understanding, tensorflow",TensorFlow code and pre-trained models for BERT,General,Small,51.35,8.0,5995,187,2852
nanoGPT,https://github.com/karpathy/nanoGPT,958,36770,5813,36770,269,660,,"The simplest, fastest repository for training/finetuning medium-sized GPTs.",General,Small,84.27,1.0,1220,24,982
interview_internal_reference,https://github.com/0voice/interview_internal_reference,1160,36594,9438,36594,31,1957,"network, redis, storage, cpu, high-performance, interview, mongodb, mysql, nginx, zookeeper",2023年最新总结，阿里，腾讯，百度，美团，头条等技术面试题目，以及答案，专家出题人分析汇总。,General,Medium,,,0,0,0
